,Pearson
salinity,-0.06
Dinophysis caudata,-0.05
T,0.05
DSP,-0.05
Phalacroma rotundatum,-0.04
month,0.04
Dinophysis fortii,-0.03
Chl-a,0.03
DIN,-0.03
precipitation,-0.02
Dinophysis tripos,-0.02
air temp,0.02
sun [h],0.01
Soca,0.01
PO4-P,0.01
Dinophysis sacculus,0.01
wind strength,-0.0
