DSP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,Soca,month,lipophylic_toxins
26.0,2.0,2.0,20.0,2.0,0.0,232.29999999999998,24.952380952380953,3.0952380952380953,8.3,1665.0630000000003,7,poz
4.0,0.0,2.0,2.0,0.0,0.0,229.29999999999998,24.714285714285715,3.157142857142857,12.0,1358.9479999999996,7,poz
26.0,0.0,4.0,18.0,0.0,0.0,232.80000000000004,25.438095238095237,3.1523809523809527,5.200000000000001,1169.2980000000002,8,poz
9.0,0.0,2.0,5.0,0.0,0.0,202.40000000000003,21.833333333333332,3.1380952380952385,113.6,1585.8790000000001,9,neg
0.0,0.0,0.0,0.0,0.0,0.0,157.4,19.447619047619046,3.8095238095238093,99.6,3276.186,9,neg
169.0,18.0,20.0,0.0,54.0,0.0,152.1,17.814285714285713,3.4952380952380957,89.20000000000002,2693.038,9,poz
34.0,0.0,21.0,0.0,0.0,0.0,152.1,17.814285714285713,3.4952380952380957,89.20000000000002,2693.038,9,poz
3.0,3.0,0.0,0.0,0.0,0.0,135.3,15.195238095238096,2.8666666666666667,15.299999999999999,3894.1389999999997,10,neg
3.0,0.0,3.0,0.0,0.0,0.0,135.3,15.195238095238096,2.8666666666666667,15.299999999999999,3894.1389999999997,10,neg
6.0,6.0,0.0,0.0,0.0,0.0,188.79999999999998,20.538095238095234,2.9476190476190474,21.0,1472.6110000000003,9,poz
140.0,131.0,3.0,3.0,0.0,0.0,188.79999999999998,20.538095238095234,2.9476190476190474,21.0,1472.6110000000003,9,poz
228.0,0.0,222.0,6.0,0.0,0.0,103.40000000000002,14.77142857142857,2.704761904761905,219.9,1852.896,9,poz
216.0,92.0,111.0,13.0,0.0,0.0,103.40000000000002,14.77142857142857,2.704761904761905,219.9,1852.896,9,poz
0.0,0.0,0.0,0.0,0.0,0.0,92.00000000000001,15.523809523809524,2.7,213.70000000000002,3328.411000000001,10,neg
17.0,5.0,12.0,0.0,0.0,0.0,92.00000000000001,15.523809523809524,2.7,213.70000000000002,3328.411000000001,10,neg
0.0,0.0,0.0,0.0,0.0,0.0,93.8,14.92380952380952,2.9619047619047625,64.80000000000001,4898.58,10,neg
2.0,0.0,0.0,2.0,0.0,0.0,93.8,14.92380952380952,2.9619047619047625,64.80000000000001,4898.58,10,neg
0.0,0.0,0.0,0.0,0.0,0.0,99.4,13.933333333333332,2.8666666666666667,51.300000000000004,4747.222,10,neg
0.0,0.0,0.0,0.0,0.0,0.0,99.4,13.933333333333332,2.8666666666666667,51.300000000000004,4747.222,10,neg
18.0,0.0,9.0,9.0,0.0,0.0,189.20000000000002,21.30952380952381,3.2142857142857144,73.8,3074.1939999999995,7,poz
64.0,9.0,46.0,9.0,0.0,0.0,189.20000000000002,21.30952380952381,3.2142857142857144,73.8,3074.1939999999995,7,poz
0.0,0.0,0.0,0.0,0.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857147,77.19999999999997,3016.5229999999997,7,poz
26.0,13.0,13.0,0.0,0.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857147,77.19999999999997,3016.5229999999997,7,poz
87.0,59.0,23.0,0.0,5.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,1905.1640000000002,10,neg
77.0,36.0,27.0,9.0,0.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,1905.1640000000002,10,neg
151.0,80.0,57.0,9.0,5.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,1232.003,10,neg
267.0,217.0,35.0,5.0,0.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,1232.003,10,neg
16.0,12.0,0.0,4.0,0.0,0.0,122.20000000000002,17.104761904761904,2.2523809523809524,36.2,4675.560999999999,5,neg
5.0,0.0,0.0,0.0,5.0,0.0,122.20000000000002,17.104761904761904,2.2523809523809524,36.2,4675.560999999999,5,neg
142.0,0.0,0.0,18.0,124.0,0.0,176.89999999999998,19.1,2.3857142857142857,47.900000000000006,3393.551,6,neg
80.0,0.0,0.0,0.0,80.0,0.0,176.89999999999998,19.1,2.3857142857142857,47.900000000000006,3393.551,6,neg
14.0,0.0,0.0,0.0,14.0,0.0,223.70000000000005,21.73809523809524,2.7047619047619054,54.8,2680.291999999999,6,neg
18.0,0.0,0.0,9.0,9.0,0.0,223.70000000000005,21.73809523809524,2.7047619047619054,54.8,2680.291999999999,6,neg
37.0,0.0,0.0,5.0,32.0,0.0,189.80000000000004,19.980952380952385,2.7142857142857144,94.99999999999999,1798.4090000000008,6,neg
19.0,0.0,0.0,5.0,14.0,0.0,189.80000000000004,19.980952380952385,2.7142857142857144,94.99999999999999,1798.4090000000008,6,neg
55.0,37.0,0.0,9.0,9.0,0.0,213.00000000000003,22.314285714285717,2.8142857142857145,11.799999999999999,1274.9560000000004,7,neg
15.0,0.0,0.0,10.0,5.0,0.0,213.00000000000003,22.314285714285717,2.8142857142857145,11.799999999999999,1274.9560000000004,7,neg
24.0,19.0,0.0,0.0,5.0,0.0,197.2,22.885714285714286,3.1904761904761907,26.9,980.262,7,neg
84.0,70.0,0.0,14.0,0.0,0.0,197.2,22.885714285714286,3.1904761904761907,26.9,980.262,7,neg
11.0,11.0,0.0,0.0,0.0,0.0,218.50000000000003,23.804761904761907,3.223809523809524,18.9,970.561,8,neg
16.0,11.0,0.0,0.0,5.0,0.0,218.50000000000003,23.804761904761907,3.223809523809524,18.9,970.561,8,neg
