,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.78,0.45,0.57
3,Decision Tree,0.33,0.35,0.34
5,Random Forest,0.85,0.72,0.78
7,Neural Network,0.41,0.57,0.48
