,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.62,0.52,0.57
3,Decision Tree,0.25,0.82,0.38
5,Random Forest,0.59,0.8,0.68
7,Neural Network,0.43,0.5,0.46
