,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.7,0.52,0.6
3,Decision Tree,0.45,0.5,0.48
5,Random Forest,0.78,0.7,0.74
7,Neural Network,0.52,0.6,0.56
