,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.59,0.42,0.49
3,Decision Tree,0.47,0.42,0.45
5,Random Forest,0.8,0.5,0.62
7,Neural Network,0.42,0.38,0.39
