,Pearson
Phalacroma rotundatum,-0.1
Dinophysis tripos,0.08
Dinophysis sacculus,-0.07
DSP,-0.07
air temp,-0.05
T,-0.04
precipitation,-0.04
sun [h],-0.03
Dinophysis fortii,-0.03
Chl-a,-0.02
month,0.02
wind strength,-0.02
Soca,0.02
DIN,0.01
PO4-P,-0.01
Dinophysis caudata,-0.01
salinity,0.0
