,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.64,0.4,0.49
3,Decision Tree,0.45,0.52,0.48
5,Random Forest,0.45,0.55,0.49
7,Neural Network,0.35,0.48,0.4
