,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.63,0.42,0.51
3,Decision Tree,0.54,0.38,0.44
5,Random Forest,0.7,0.65,0.68
7,Neural Network,0.47,0.42,0.45
