,Pearson
precipitation,0.07
Dinophysis sacculus,-0.04
salinity,-0.03
sun [h],-0.03
T,0.03
month,0.02
air temp,-0.02
DSP,-0.02
Soca,0.02
Phalacroma rotundatum,-0.02
Dinophysis tripos,-0.02
Dinophysis caudata,0.01
wind strength,0.01
Dinophysis fortii,0.01
