,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.6,0.45,0.51
3,Decision Tree,0.35,0.5,0.41
5,Random Forest,0.85,0.55,0.67
7,Neural Network,0.34,0.52,0.42
