,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.73,0.4,0.52
3,Decision Tree,0.28,0.28,0.28
5,Random Forest,0.84,0.65,0.73
7,Neural Network,0.51,0.5,0.51
