,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.41,0.52,0.46
3,Decision Tree,0.38,0.52,0.44
5,Random Forest,0.71,0.68,0.69
7,Neural Network,0.38,0.65,0.48
