,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.53,0.45,0.49
3,Decision Tree,0.53,0.42,0.47
5,Random Forest,0.88,0.38,0.53
7,Neural Network,0.51,0.45,0.48
