,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.5,0.5,0.5
3,Decision Tree,0.54,0.38,0.44
5,Random Forest,0.85,0.7,0.77
7,Neural Network,0.65,0.5,0.56
