,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.44,0.28,0.34
3,Decision Tree,0.43,0.5,0.47
5,Random Forest,0.78,0.45,0.57
7,Neural Network,0.31,0.45,0.37
