,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.68,0.57,0.62
3,Decision Tree,0.42,0.52,0.47
5,Random Forest,0.72,0.65,0.68
7,Neural Network,0.37,0.6,0.46
