,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.68,0.52,0.59
3,Decision Tree,0.31,0.52,0.39
5,Random Forest,0.77,0.57,0.66
7,Neural Network,0.3,0.78,0.44
