DSP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,Chl-a,salinity,T,SECCHI,DIN,PO4-P,Soca,month,lipophylic_toxins
216.0,92.0,111.0,13.0,0.0,0.0,103.40000000000002,14.77142857142857,2.704761904761905,219.9,0.33,37.39,21.73,?,2.2199999652802935,0.0299999993294477,1852.896,9,poz
0.0,0.0,0.0,0.0,0.0,0.0,92.00000000000001,15.523809523809524,2.7,213.70000000000002,1.87,36.57,20.2,?,1.6099999696016316,0.0599999986588955,3328.411000000001,10,neg
17.0,5.0,12.0,0.0,0.0,0.0,92.00000000000001,15.523809523809524,2.7,213.70000000000002,0.86,36.38,19.78,?,1.5800000019371512,0.0299999993294477,3328.411000000001,10,neg
0.0,0.0,0.0,0.0,0.0,0.0,93.8,14.92380952380952,2.9619047619047625,64.80000000000001,1.87,36.57,20.2,?,1.6099999696016316,0.0599999986588955,4898.58,10,neg
2.0,0.0,0.0,2.0,0.0,0.0,93.8,14.92380952380952,2.9619047619047625,64.80000000000001,0.86,36.38,19.78,?,1.5800000019371512,0.0299999993294477,4898.58,10,neg
0.0,0.0,0.0,0.0,0.0,0.0,99.4,13.933333333333332,2.8666666666666667,51.300000000000004,0.86,36.01,17.8,7.0,2.7999999970197686,0.109999999403954,4747.222,10,neg
0.0,0.0,0.0,0.0,0.0,0.0,99.4,13.933333333333332,2.8666666666666667,51.300000000000004,1.89,35.38,17.27,9.0,4.990000121295454,0.100000001490116,4747.222,10,neg
17.0,2.0,5.0,10.0,0.0,0.0,63.2,13.266666666666666,3.6333333333333333,68.6,1.89,35.38,17.27,9.0,4.990000121295454,0.100000001490116,6767.953,11,?
0.0,0.0,0.0,0.0,0.0,0.0,63.2,13.266666666666666,3.6333333333333333,68.6,0.86,36.01,17.8,7.0,2.7999999970197686,0.109999999403954,6767.953,11,?
0.0,0.0,0.0,0.0,0.0,0.0,185.0,8.576190476190474,4.019047619047619,17.9,?,?,?,?,?,?,901.5699999999998,4,?
0.0,0.0,0.0,0.0,0.0,0.0,185.0,8.576190476190474,4.019047619047619,17.9,?,?,?,?,?,?,901.5699999999998,4,?
0.0,0.0,0.0,0.0,0.0,0.0,148.7,14.476190476190476,3.4095238095238094,50.199999999999996,1.58,36.0,11.6,?,6.890000090003005,0.370000004768372,2465.2829999999994,5,?
0.0,0.0,0.0,0.0,0.0,0.0,148.7,14.476190476190476,3.4095238095238094,50.199999999999996,0.92,35.75,11.6,?,5.330000147223482,0.159999996423721,2465.2829999999994,5,?
1565.0,13.0,0.0,9.0,1543.0,0.0,182.79999999999995,18.25714285714286,2.466666666666667,18.6,0.47,35.25,16.3,?,6.770000159740446,0.0900000035762787,2358.9080000000004,6,?
89.0,0.0,0.0,22.0,67.0,0.0,182.79999999999995,18.25714285714286,2.466666666666667,18.6,0.65,35.25,16.6,?,5.610000029206276,0.28999999165535,2358.9080000000004,6,?
96.0,0.0,0.0,0.0,96.0,0.0,187.59999999999997,21.52857142857143,2.8333333333333335,54.6,0.95,34.25,22.4,?,6.969999909400948,0.0299999993294477,2498.0260000000003,6,?
28.0,0.0,0.0,0.0,19.0,0.0,187.59999999999997,21.52857142857143,2.8333333333333335,54.6,1.34,33.75,23.2,?,11.140000253915783,0.0299999993294477,2498.0260000000003,6,?
18.0,0.0,9.0,9.0,0.0,0.0,189.20000000000002,21.30952380952381,3.2142857142857144,73.8,0.95,34.25,22.4,?,6.969999909400948,0.0299999993294477,3074.1939999999995,7,poz
64.0,9.0,46.0,9.0,0.0,0.0,189.20000000000002,21.30952380952381,3.2142857142857144,73.8,1.34,33.75,23.2,?,11.140000253915783,0.0299999993294477,3074.1939999999995,7,poz
0.0,0.0,0.0,0.0,0.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857147,77.19999999999997,0.79,35.0,22.3,?,4.409999936819078,0.00999999977648258,3016.5229999999997,7,poz
26.0,13.0,13.0,0.0,0.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857147,77.19999999999997,0.79,35.0,22.3,?,4.409999936819078,0.00999999977648258,3016.5229999999997,7,poz
61.0,12.0,37.0,8.0,4.0,0.0,208.7,21.40952380952381,3.0904761904761906,74.8,0.46,35.14,23.09,8.0,2.6100000813603432,0.0199999995529652,2214.2940000000003,8,?
54.0,25.0,0.0,0.0,29.0,0.0,208.7,21.40952380952381,3.0904761904761906,74.8,0.98,35.13,19.37,?,2.5200000498443864,0.0199999995529652,2214.2940000000003,8,?
0.0,0.0,0.0,0.0,0.0,0.0,197.20000000000002,21.985714285714284,2.7333333333333334,32.199999999999996,1.27,33.75,25.2,?,1.6200000308454054,0.0399999991059303,1391.285,8,?
5.0,5.0,0.0,0.0,0.0,0.0,197.20000000000002,21.985714285714284,2.7333333333333334,32.199999999999996,1.2,33.75,25.0,?,3.240000002086161,0.0399999991059303,1391.285,8,?
28.0,23.0,0.0,0.0,5.0,0.0,180.4,21.552380952380954,3.2523809523809515,20.6,0.39,35.0,25.0,?,1.640000000596047,0.0199999995529652,1118.9879999999998,9,?
32.0,0.0,18.0,14.0,0.0,0.0,180.4,21.552380952380954,3.2523809523809515,20.6,0.63,35.0,25.5,?,1.7699999902397394,0.0700000002980232,1118.9879999999998,9,?
204.0,84.0,116.0,4.0,0.0,0.0,198.6,19.15714285714286,3.357142857142857,37.3,0.76,34.75,25.8,?,1.6100000441074367,0.0199999995529652,2079.4180000000006,9,?
46.0,5.0,36.0,5.0,0.0,0.0,198.6,19.15714285714286,3.357142857142857,37.3,0.45,34.75,25.7,?,1.8299999982118627,0.0299999993294477,2079.4180000000006,9,?
87.0,59.0,23.0,0.0,5.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,0.9,35.49,22.13,?,1.7199999988079058,0.0299999993294477,1905.1640000000002,10,neg
77.0,36.0,27.0,9.0,0.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,0.55,35.3,21.9,12.0,1.5099999886006166,0.0500000007450581,1905.1640000000002,10,neg
151.0,80.0,57.0,9.0,5.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,0.97,36.0,20.8,?,5.9700001850724185,0.0199999995529652,1232.003,10,neg
267.0,217.0,35.0,5.0,0.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,0.5,36.0,21.8,?,7.330000139772886,0.0299999993294477,1232.003,10,neg
139.0,104.0,30.0,0.0,0.0,0.0,122.79999999999998,9.557142857142859,3.2285714285714278,8.9,1.1,36.0,20.2,?,0.9999999795109025,0.0399999991059303,1108.226,11,?
166.0,129.0,23.0,0.0,14.0,0.0,122.79999999999998,9.557142857142859,3.2285714285714278,8.9,2.45,36.0,20.3,?,1.100000001490116,0.170000001788139,1108.226,11,?
177.0,132.0,36.0,0.0,0.0,0.0,60.6,9.771428571428572,2.876190476190476,152.09999999999997,1.12,36.0,16.0,?,4.2200000286102295,0.0799999982118607,6799.274000000001,11,?
27.0,9.0,9.0,0.0,0.0,0.0,60.6,9.771428571428572,2.876190476190476,152.09999999999997,1.52,36.0,15.5,?,2.239999964833255,0.0900000035762787,6799.274000000001,11,?
0.0,0.0,0.0,0.0,0.0,0.0,112.19999999999999,11.933333333333334,3.6285714285714286,79.1,1.93,37.05,10.77,7.0,3.0800000131130183,0.0599999986588955,4862.131000000001,4,?
0.0,0.0,0.0,0.0,0.0,0.0,112.19999999999999,11.933333333333334,3.6285714285714286,79.1,0.94,36.9,11.57,8.0,3.2999999672174454,0.0700000002980232,4862.131000000001,4,?
5.0,0.0,0.0,0.0,5.0,0.0,185.89999999999998,14.78095238095238,2.914285714285714,61.900000000000006,0.93,35.63,13.8,4.0,4.509999901056284,0.140000000596046,5722.82,5,?
5.0,0.0,0.0,0.0,5.0,0.0,185.89999999999998,14.78095238095238,2.914285714285714,61.900000000000006,1.3,36.32,12.68,6.0,4.049999967217446,0.100000001490116,5722.82,5,?
0.0,0.0,0.0,0.0,0.0,0.0,196.29999999999998,16.92857142857143,2.857142857142857,31.0,3.3199999332428,34.6399993896484,18.3199996948242,?,3.1899999231100074,0.0700000002980232,3086.3549999999996,5,?
0.0,0.0,0.0,0.0,0.0,0.0,196.29999999999998,16.92857142857143,2.857142857142857,31.0,0.730000019073486,35.7000007629395,18.0900001525879,?,3.449999928474428,0.0799999982118607,3086.3549999999996,5,?
28.0,5.0,0.0,9.0,14.0,0.0,195.79999999999998,19.599999999999994,2.5285714285714285,33.4,0.730000019073486,35.7000007629395,18.0900001525879,?,3.449999928474428,0.0799999982118607,2016.7099999999994,6,?
14.0,5.0,0.0,9.0,0.0,0.0,195.79999999999998,19.599999999999994,2.5285714285714285,33.4,3.3199999332428,34.6399993896484,18.3199996948242,?,3.1899999231100074,0.0700000002980232,2016.7099999999994,6,?
205.0,129.0,0.0,38.0,38.0,0.0,203.99999999999997,20.43333333333333,2.638095238095238,77.7,1.0900000333786,37.1800003051758,17.7099990844727,?,1.4900000467896493,0.0900000035762787,2178.837,6,?
107.0,13.0,0.0,18.0,76.0,0.0,203.99999999999997,20.43333333333333,2.638095238095238,77.7,1.0900000333786,37.1800003051758,17.7099990844727,?,1.4900000467896493,0.0900000035762787,2178.837,6,?
50.0,9.0,0.0,9.0,32.0,0.0,230.2,22.31428571428571,2.857142857142857,68.19999999999999,0.540000021457672,36.1100006103516,23.5200004577637,?,1.7400000076740978,0.109999999403954,2340.8900000000003,7,?
24.0,5.0,0.0,5.0,14.0,0.0,230.2,22.31428571428571,2.857142857142857,68.19999999999999,0.430000007152557,36.0900001525879,23.2600002288818,?,1.2599999699741606,0.0299999993294477,2340.8900000000003,7,?
50.0,9.0,0.0,5.0,36.0,0.0,213.1,21.91428571428571,3.0809523809523816,98.89999999999999,0.449999988079071,35.560001373291,24.1499996185303,?,1.5399999693036062,0.00999999977648258,3794.5190000000002,7,?
109.0,23.0,0.0,9.0,77.0,0.0,213.1,21.91428571428571,3.0809523809523816,98.89999999999999,0.349999994039536,35.2700004577637,24.6900005340576,?,3.079999893903734,0.00999999977648258,3794.5190000000002,7,?
31.0,13.0,0.0,0.0,18.0,0.0,257.3,24.404761904761905,2.9476190476190474,29.6,1.22000002861023,33.3800010681152,25.8400001525879,?,1.0199999958276749,0.00999999977648258,3648.147,8,?
5.0,5.0,0.0,0.0,0.0,0.0,257.3,24.404761904761905,2.9476190476190474,29.6,1.22000002861023,33.3800010681152,25.8400001525879,?,1.0199999958276749,0.00999999977648258,3648.147,8,?
19.0,14.0,0.0,0.0,5.0,0.0,252.60000000000002,25.538095238095234,3.261904761904762,0.3,1.12999999523163,34.9500007629395,25.2199993133545,?,0.46000000089406967,0.119999997317791,1544.147,8,?
23.0,9.0,0.0,5.0,9.0,0.0,252.60000000000002,25.538095238095234,3.261904761904762,0.3,0.720000028610229,34.2299995422363,25.3600006103516,?,1.3499999903142446,0.00999999977648258,1544.147,8,?
0.0,0.0,0.0,0.0,0.0,0.0,195.8,22.58095238095238,3.4380952380952383,57.0,0.620000004768372,36.1300010681152,27.6200008392334,?,1.2299999669194221,0.0299999993294477,1372.346,9,?
41.0,23.0,0.0,0.0,18.0,0.0,195.8,22.58095238095238,3.4380952380952383,57.0,0.389999985694885,35.7299995422363,27.5799999237061,?,1.1699999962002037,0.0399999991059303,1372.346,9,?
281.0,87.0,184.0,5.0,0.0,0.0,136.20000000000002,18.509523809523813,3.3428571428571425,112.2,0.639999985694885,36.6399993896484,27.4099998474121,?,1.370000023394823,0.0299999993294477,4101.439,9,?
74.0,28.0,46.0,0.0,0.0,0.0,136.20000000000002,18.509523809523813,3.3428571428571425,112.2,0.370000004768372,36.310001373291,26.9599990844727,?,1.089999979361888,0.00999999977648258,4101.439,9,?
102.0,88.0,5.0,9.0,0.0,0.0,135.70000000000002,16.314285714285717,3.0619047619047626,133.4,0.75,36.91,22.08,8.0,1.8300000112503767,0.0599999986588955,5775.722000000001,10,?
97.0,74.0,0.0,18.0,5.0,0.0,135.70000000000002,16.314285714285717,3.0619047619047626,133.4,0.64,36.45,21.88,12.0,1.699999995529648,0.0299999993294477,5775.722000000001,10,?
8.0,0.0,0.0,8.0,0.0,0.0,118.89999999999999,13.43809523809524,3.119047619047619,170.1,0.930000007152557,36.0,20.1000003814697,?,1.0899999830871816,0.00999999977648258,11357.719000000003,10,?
16.0,12.0,0.0,4.0,0.0,0.0,122.20000000000002,17.104761904761904,2.2523809523809524,36.2,1.01,36.47,12.38,7.5,18.369999982416676,0.0900000035762787,4675.560999999999,5,neg
5.0,0.0,0.0,0.0,5.0,0.0,122.20000000000002,17.104761904761904,2.2523809523809524,36.2,1.98,36.84,11.36,7.5,11.060000367462644,0.0799999982118607,4675.560999999999,5,neg
142.0,0.0,0.0,18.0,124.0,0.0,176.89999999999998,19.1,2.3857142857142857,47.900000000000006,1.3,36.65,18.39,11.0,1.7600000090897083,0.0399999991059303,3393.551,6,neg
80.0,0.0,0.0,0.0,80.0,0.0,176.89999999999998,19.1,2.3857142857142857,47.900000000000006,1.14,36.3,19.29,6.5,3.259999938309188,0.0599999986588955,3393.551,6,neg
14.0,0.0,0.0,0.0,14.0,0.0,223.70000000000005,21.73809523809524,2.7047619047619054,54.8,1.14,36.3,19.29,6.5,3.259999938309188,0.0599999986588955,2680.291999999999,6,neg
18.0,0.0,0.0,9.0,9.0,0.0,223.70000000000005,21.73809523809524,2.7047619047619054,54.8,1.3,36.65,18.39,11.0,1.7600000090897083,0.0399999991059303,2680.291999999999,6,neg
37.0,0.0,0.0,5.0,32.0,0.0,189.80000000000004,19.980952380952385,2.7142857142857144,94.99999999999999,1.22000002861023,35.3400001525879,24.5300006866455,?,1.5299999993294477,0.0299999993294477,1798.4090000000008,6,neg
19.0,0.0,0.0,5.0,14.0,0.0,189.80000000000004,19.980952380952385,2.7142857142857144,94.99999999999999,0.800000011920929,34.9199981689453,24.7700004577637,?,2.7300000563263893,0.0500000007450581,1798.4090000000008,6,neg
55.0,37.0,0.0,9.0,9.0,0.0,213.00000000000003,22.314285714285717,2.8142857142857145,11.799999999999999,0.74,36.11,22.79,14.5,3.8599999137222794,0.0299999993294477,1274.9560000000004,7,neg
15.0,0.0,0.0,10.0,5.0,0.0,213.00000000000003,22.314285714285717,2.8142857142857145,11.799999999999999,0.4,35.97,22.55,17.0,2.160000054165725,0.0599999986588955,1274.9560000000004,7,neg
24.0,19.0,0.0,0.0,5.0,0.0,197.2,22.885714285714286,3.1904761904761907,26.9,0.409999996423721,37.4199981689453,22.7199993133545,?,4.6699999943375605,0.0399999991059303,980.262,7,neg
84.0,70.0,0.0,14.0,0.0,0.0,197.2,22.885714285714286,3.1904761904761907,26.9,0.400000005960464,37.2299995422363,22.6000003814697,?,8.499999849125746,0.0500000007450581,980.262,7,neg
11.0,11.0,0.0,0.0,0.0,0.0,218.50000000000003,23.804761904761907,3.223809523809524,18.9,0.27,37.41,22.99,?,3.0500000994652527,0.0500000007450581,970.561,8,neg
16.0,11.0,0.0,0.0,5.0,0.0,218.50000000000003,23.804761904761907,3.223809523809524,18.9,0.67,36.91,23.6,10.5,2.9400000162422693,0.0399999991059303,970.561,8,neg
15.0,10.0,0.0,0.0,5.0,0.0,186.79999999999998,23.83809523809524,2.942857142857143,10.899999999999999,0.779999971389771,37.310001373291,22.0499992370605,?,4.859999943524602,0.0299999993294477,1478.9259999999997,8,neg
14.0,14.0,0.0,0.0,0.0,0.0,186.79999999999998,23.83809523809524,2.942857142857143,10.899999999999999,0.790000021457672,37.2799987792969,23.0100002288818,?,4.439999975264069,0.0399999991059303,1478.9259999999997,8,neg
57.0,44.0,0.0,4.0,9.0,0.0,154.9,22.55238095238095,2.8904761904761904,26.9,0.330000013113022,37.5200004577637,25.5699996948242,?,11.459999598562721,0.0500000007450581,1537.625,9,neg
134.0,130.0,4.0,0.0,0.0,0.0,154.9,22.55238095238095,2.8904761904761904,26.9,0.209999993443489,37.4700012207031,25.6399993896484,?,8.520000228658322,0.0199999995529652,1537.625,9,neg
19.0,14.0,0.0,0.0,0.0,0.0,147.60000000000002,21.56190476190476,2.9095238095238094,22.700000000000003,0.330000013113022,37.5200004577637,25.5699996948242,?,11.459999598562721,0.0500000007450581,1577.04,9,neg
28.0,19.0,0.0,9.0,0.0,0.0,147.60000000000002,21.56190476190476,2.9095238095238094,22.700000000000003,0.209999993443489,37.4700012207031,25.6399993896484,?,8.520000228658322,0.0199999995529652,1577.04,9,neg
108.0,108.0,0.0,0.0,0.0,0.0,167.5,20.952380952380956,3.0095238095238095,22.0,0.35,36.52,24.41,14.5,7.95999974943697,0.00999999977648258,1524.7590000000002,9,neg
44.0,40.0,0.0,4.0,0.0,0.0,167.5,20.952380952380956,3.0095238095238095,22.0,0.27,36.48,24.83,12.0,6.489999789744611,0.0500000007450581,1524.7590000000002,9,neg
50.0,41.0,0.0,9.0,0.0,0.0,172.7,20.176190476190477,3.2857142857142856,36.1,0.449999988079071,37.1800003051758,24.0699996948242,?,5.109999913722275,0.00999999977648258,1203.9460000000004,9,?
44.0,13.0,9.0,22.0,0.0,0.0,172.7,20.176190476190477,3.2857142857142856,36.1,0.560000002384186,37.189998626709,23.8199996948242,?,5.650000024586918,0.0399999991059303,1203.9460000000004,9,?
60.0,5.0,0.0,55.0,0.0,0.0,174.70000000000002,20.30952380952381,3.2571428571428576,39.2,0.860000014305115,37.4700012207031,23.1000003814697,?,3.470000077039002,0.0299999993294477,1397.4300000000003,9,neg
101.0,13.0,9.0,75.0,0.0,0.0,174.70000000000002,20.30952380952381,3.2571428571428576,39.2,0.990000009536743,37.4199981689453,22.7700004577637,?,7.190000012516979,0.0199999995529652,1397.4300000000003,9,?
73.0,0.0,55.0,18.0,0.0,0.0,132.50000000000003,19.03333333333333,3.528571428571429,67.2,1.16999995708466,37.4599990844727,22.5100002288818,?,2.5999999735504358,0.0199999995529652,2150.4809999999998,10,?
