,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.56,0.48,0.51
3,Decision Tree,0.5,0.38,0.43
5,Random Forest,0.79,0.55,0.65
7,Neural Network,0.41,0.45,0.43
