,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.71,0.38,0.49
3,Decision Tree,0.55,0.45,0.49
5,Random Forest,0.8,0.6,0.69
7,Neural Network,0.35,0.48,0.4
