,Pearson
salinity,-0.2
Dinophysis tripos,0.2
Dinophysis fortii,0.17
index,-0.17
DSP,0.15
precipitation,0.12
Dinophysis caudata,0.1
sun [h],-0.09
Soca,0.08
Dinophysis sacculus,0.07
wind strength,-0.06
month,0.05
air temp,-0.03
Phalacroma rotundatum,-0.02
T,0.01
