,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.66,0.48,0.55
3,Decision Tree,0.4,0.52,0.46
5,Random Forest,0.74,0.62,0.68
7,Neural Network,0.46,0.45,0.46
