,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.49,0.45,0.47
3,Decision Tree,0.38,0.42,0.4
5,Random Forest,0.78,0.52,0.63
7,Neural Network,0.36,0.62,0.45
