,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.51,0.5,0.51
3,Decision Tree,0.25,0.6,0.36
5,Random Forest,0.73,0.6,0.66
7,Neural Network,0.29,0.57,0.38
