,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.54,0.48,0.51
3,Decision Tree,0.54,0.38,0.44
5,Random Forest,0.78,0.62,0.69
7,Neural Network,0.45,0.35,0.39
