,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.64,0.45,0.53
3,Decision Tree,0.35,0.55,0.43
5,Random Forest,0.75,0.6,0.67
7,Neural Network,0.38,0.78,0.51
