,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.64,0.4,0.49
3,Decision Tree,0.31,0.42,0.36
5,Random Forest,0.53,0.57,0.55
7,Neural Network,0.43,0.45,0.44
