,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.76,0.4,0.52
3,Decision Tree,0.52,0.35,0.42
5,Random Forest,0.74,0.7,0.72
7,Neural Network,0.35,0.65,0.46
