,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.62,0.32,0.43
3,Decision Tree,0.37,0.55,0.44
5,Random Forest,0.57,0.62,0.6
7,Neural Network,0.41,0.6,0.48
