,Pearson
wind strength,-0.06
air temp,0.06
Soca,-0.05
T,0.05
sun [h],0.04
DSP,-0.03
Dinophysis tripos,-0.03
month,0.03
salinity,0.02
Dinophysis fortii,-0.02
Dinophysis sacculus,-0.02
Dinophysis caudata,-0.02
Phalacroma rotundatum,-0.01
precipitation,0.0
