,Pearson
Dinophysis fortii,0.15
air temp,0.14
sun [h],0.12
DSP,0.11
month,-0.1
Soca,-0.08
precipitation,-0.08
Dinophysis sacculus,0.06
wind strength,-0.06
salinity,-0.05
T,0.04
Dinophysis tripos,-0.01
Phalacroma rotundatum,0.01
Dinophysis caudata,0.01
