,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.3,0.38,0.33
3,Decision Tree,0.27,0.5,0.35
5,Random Forest,0.51,0.45,0.48
7,Neural Network,0.2,0.25,0.22
