,Pearson
precipitation,0.1
Dinophysis tripos,0.1
Soca,0.1
Dinophysis sacculus,-0.08
sun [h],-0.06
DSP,-0.06
Dinophysis caudata,-0.05
air temp,-0.04
T,-0.04
salinity,-0.02
month,-0.02
Dinophysis fortii,-0.02
wind strength,0.0
Phalacroma rotundatum,0.0
