,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.62,0.45,0.52
3,Decision Tree,0.44,0.52,0.48
5,Random Forest,0.76,0.48,0.58
7,Neural Network,0.37,0.57,0.45
