,Pearson
wind strength,0.12
salinity,-0.07
T,0.06
Dinophysis caudata,-0.05
DSP,-0.05
Dinophysis tripos,-0.04
Soca,0.04
DIN,-0.04
sun [h],0.04
Phalacroma rotundatum,-0.04
Dinophysis fortii,-0.04
PO4-P,-0.03
air temp,0.02
Chl-a,-0.02
month,-0.02
Dinophysis sacculus,-0.01
precipitation,-0.01
