,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.38,0.5,0.43
3,Decision Tree,0.31,0.57,0.4
5,Random Forest,0.65,0.6,0.62
7,Neural Network,0.32,0.57,0.41
