,Pearson
Dinophysis tripos,0.09
wind strength,-0.06
salinity,0.04
month,0.04
precipitation,-0.03
Dinophysis sacculus,-0.03
T,0.02
Dinophysis fortii,-0.02
Soca,0.02
DSP,-0.01
Phalacroma rotundatum,0.01
air temp,-0.01
Dinophysis caudata,0.01
sun [h],-0.0
