,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.61,0.48,0.54
3,Decision Tree,0.37,0.45,0.4
5,Random Forest,0.89,0.62,0.74
7,Neural Network,0.5,0.5,0.5
