,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.48,0.3,0.37
3,Decision Tree,0.26,0.52,0.34
5,Random Forest,0.66,0.48,0.55
7,Neural Network,0.39,0.4,0.4
