,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.55,0.45,0.49
3,Decision Tree,0.36,0.5,0.42
5,Random Forest,0.75,0.6,0.67
7,Neural Network,0.42,0.55,0.48
