,Pearson
wind strength,0.16
DIN,-0.13
Soca,-0.12
salinity,0.11
DSP,-0.1
Phalacroma rotundatum,-0.09
Chl-a,-0.09
Dinophysis caudata,-0.09
Dinophysis sacculus,-0.07
T,0.06
Dinophysis fortii,-0.04
PO4-P,-0.04
precipitation,-0.03
air temp,-0.02
Dinophysis tripos,-0.01
month,0.01
sun [h],0.0
