,Pearson
air temp,0.17
T,0.15
sun [h],0.15
DIN,-0.11
precipitation,-0.09
Dinophysis tripos,-0.07
Soca,-0.06
salinity,-0.06
DSP,-0.04
Dinophysis fortii,-0.04
Phalacroma rotundatum,-0.04
month,0.04
Dinophysis caudata,-0.04
PO4-P,-0.04
Chl-a,0.03
Dinophysis sacculus,0.03
wind strength,-0.0
