,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.33,0.27,0.3
3,Decision Tree,0.24,0.31,0.27
5,Random Forest,0.48,0.42,0.45
7,Neural Network,0.35,0.42,0.39
