,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.37,0.38,0.37
3,Decision Tree,0.48,0.4,0.44
5,Random Forest,0.79,0.38,0.51
7,Neural Network,0.22,0.72,0.34
