,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.49,0.48,0.48
3,Decision Tree,0.26,0.57,0.36
5,Random Forest,0.86,0.6,0.71
7,Neural Network,0.32,0.4,0.36
