,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.79,0.28,0.41
3,Decision Tree,0.37,0.25,0.3
5,Random Forest,0.71,0.5,0.59
7,Neural Network,0.52,0.3,0.38
