,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.68,0.42,0.52
3,Decision Tree,0.57,0.4,0.47
5,Random Forest,0.7,0.65,0.68
7,Neural Network,0.55,0.42,0.48
