,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.61,0.5,0.55
3,Decision Tree,0.34,0.45,0.39
5,Random Forest,0.88,0.7,0.78
7,Neural Network,0.52,0.52,0.52
