,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.48,0.32,0.39
3,Decision Tree,0.31,0.25,0.28
5,Random Forest,0.57,0.3,0.39
7,Neural Network,0.35,0.32,0.34
