,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.64,0.35,0.45
3,Decision Tree,0.43,0.4,0.42
5,Random Forest,0.74,0.57,0.65
7,Neural Network,0.46,0.55,0.5
