,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.6,0.3,0.4
3,Decision Tree,0.48,0.32,0.39
5,Random Forest,0.76,0.62,0.68
7,Neural Network,0.45,0.5,0.48
