,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.43,0.62,0.51
3,Decision Tree,0.4,0.55,0.46
5,Random Forest,0.72,0.57,0.64
7,Neural Network,0.45,0.42,0.44
