,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.44,0.48,0.46
3,Decision Tree,0.33,0.42,0.37
5,Random Forest,0.73,0.55,0.63
7,Neural Network,0.52,0.52,0.52
