,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.37,0.48,0.41
3,Decision Tree,0.36,0.57,0.44
5,Random Forest,0.68,0.62,0.65
7,Neural Network,0.54,0.38,0.44
