,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.64,0.4,0.49
3,Decision Tree,0.37,0.28,0.31
5,Random Forest,0.59,0.55,0.57
7,Neural Network,0.37,0.45,0.4
