date;sampling station;lipophylic toxins;lipophylic toxins (OA (µg/kg));lipophylic toxins (DTX2 (µg/kg));PSP toxins;ASP toxins;yessotoxins;ban start;ban stop;data source
2000-06-22;24;neg;;;neg;x;;;;Sedmak in sod., 2003
2000-07-05;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-07-05;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-07-21;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-07-21;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-08-08;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-08-08;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-08-23;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-08-30;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-05;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-05;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-12;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-12;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-20;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-20;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-27;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-09-27;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-10-04;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-10-04;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-10-10;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-10-10;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-10-18;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-10-25;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-10-25;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-11-08;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-11-15;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-11-22;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-11-22;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-11-30;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-12-13;35;neg;;;x;x;;;;Sedmak in sod., 2003
2000-12-13;24;neg;;;x;x;;;;Sedmak in sod., 2003
2000-12-27;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-05-30;24;x;;;neg;x;;;;Sedmak in sod., 2003
2001-06-06;35;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-06-13;24;x;;;neg;x;;;;Sedmak in sod., 2003
2001-06-20;35;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-06-27;24;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-07-03;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-07-09;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-07-16;35;poz;;;x;x;;;;Sedmak in sod., 2003
2001-07-19;35;poz;;;x;x;;y;;Sedmak in sod., 2003
2001-07-19;24;;;;;;;y;;Sedmak in sod., 2003
2001-07-23;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-07-23;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-07-30;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-07-30;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-01;35;neg;;;x;x;;;y;Sedmak in sod., 2003
2001-08-01;24;;;;;;;;y;Sedmak in sod., 2003
2001-08-06;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-06;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-13;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-13;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-20;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-20;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-27;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-08-27;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-09-03;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-09-03;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-09-12;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-09-17;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-09-19;35;neg;;;x;< 3 mg DA/kg;;;;Veterinarska fakulteta
2001-09-19;24;neg;;;x;< 3 mg DA/kg;;;;Veterinarska fakulteta
2001-09-24;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-10-01;35;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-10-01;24;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-10-08;35;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-10-08;24;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-10-15;35;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-10-15;24;neg;;;neg;x;;;;Sedmak in sod., 2003
2001-10-22;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-10-22;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-10-26;24;neg;;;x;x;;;;Sedmak in sod., 2003
2001-10-29;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-11-06;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-11-12;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-11-19;35;neg;;;x;x;;;;Sedmak in sod., 2003
2001-11-26;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-05-13;35;poz;;;neg;x;;;;Sedmak in sod., 2003
2002-05-13;24;poz;;;neg;x;;;;Sedmak in sod., 2003
2002-05-15;35;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-05-15;24;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-05-27;35;poz;;;x;x;;;;Sedmak in sod., 2003
2002-05-27;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-06-03;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-06-03;24;poz;;;x;x;;;;Sedmak in sod., 2003
2002-06-10;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-06-10;24;poz;;;x;x;;;;Sedmak in sod., 2003
2002-06-17;35;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-06-17;24;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-06-21;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-06-21;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-06-26;35;poz;;;neg;x;;;;Sedmak in sod., 2003
2002-06-26;24;neg;;;neg;x;;;;Sedmak in sod., 2003
2002-07-04;35;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-07-04;24;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-07-08;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-07-11;24;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-07-15;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-07-15;24;unreliable;;;x;x;;;;Sedmak in sod., 2003
2002-07-22;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-07-22;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-07-24;35;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-07-24;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-07-31;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-08-12;35;poz;;;x;x;;;;Sedmak in sod., 2003
2002-08-12;24;poz;;;x;x;;;;Sedmak in sod., 2003
2002-08-14;35;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-08-14;24;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-08-19;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-08-19;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-08-26;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-08-26;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-08-28;35;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-08-28;24;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-09-02;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-02;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-10;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-10;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-16;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-16;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-24;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-24;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-09-30;35;poz;;;x;x;;;;Sedmak in sod., 2003
2002-09-30;24;unreliable;;;x;x;;;;Sedmak in sod., 2003
2002-10-02;35;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-10-02;24;poz;;;x;x;;y;;Sedmak in sod., 2003
2002-10-07;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-10-07;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-10-09;35;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-10-09;24;neg;;;x;x;;;y;Sedmak in sod., 2003
2002-10-14;35;neg;;;x;neg;;;;Sedmak in sod., 2003
2002-10-14;24;neg;;;x;neg;;;;Sedmak in sod., 2003
2002-10-21;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-10-21;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-11-04;35;neg;;;x;x;;;;Sedmak in sod., 2003
2002-11-04;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-11-18;24;neg;;;x;x;;;;Sedmak in sod., 2003
2002-11-25;35;neg;;;x;x;;;;Sedmak in sod., 2003
2003-06-09;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-06-10;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-06-23;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-06-23;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-07-07;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-07-07;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-07-21;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-07-23;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-04;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-05;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-11;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-11;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-19;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-19;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-26;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-08-26;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-09-09;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-09-09;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-09-16;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-09-16;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-09-23;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-09-23;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-10-06;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-10-14;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-10-20;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-10-21;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-10-27;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-12-01;35;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2003-12-02;24;neg;;;? (no data);? (no data);;;;France&Mozetič, 2006
2004-05-25;24;neg;;;neg;x;;;;Veterinarska fakulteta
2004-05-27;35;neg;;;neg;x;;;;Veterinarska fakulteta
2004-06-08;24;neg;;;neg;x;;;;Veterinarska fakulteta
2004-06-21;35;neg;;;neg;x;;;;Veterinarska fakulteta
2004-06-22;24;neg;;;neg;x;;;;Veterinarska fakulteta
2004-07-05;35;neg;;;neg;x;;;;Veterinarska fakulteta
2004-07-06;24;neg;;;neg;x;;;;Veterinarska fakulteta
2004-07-19;35;neg;;;neg;x;;;;Veterinarska fakulteta
2004-07-20;24;? (no data);;;? (no data);x;;;;Veterinarska fakulteta
2004-08-09;24;neg;;;neg;x;;;;Veterinarska fakulteta
2004-08-11;35;neg;;;x;x;;;;Veterinarska fakulteta
2004-08-25;35;neg;;;x;x;;;;Veterinarska fakulteta
2004-09-02;35;neg;;;x;x;;;;Veterinarska fakulteta
2004-09-06;24;neg;;;x;x;;;;Veterinarska fakulteta
2004-09-13;35;poz;;;x;x;;;;Veterinarska fakulteta
2004-09-14;35;;;;;;;y;;Veterinarska fakulteta
2004-09-16;24;neg;;;x;x;;;;Veterinarska fakulteta
2004-09-20;24;poz;;;x;x;;;;Veterinarska fakulteta
2004-09-21;24;;;;;;;y;;Veterinarska fakulteta
2004-09-23;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2004-10-05;24;neg;;;x;x;;;;Veterinarska fakulteta
2004-10-05;24;poz;;;x;x;;;;Veterinarska fakulteta
2004-10-13;24;neg;;;neg;x;;;;Veterinarska fakulteta
2004-10-14;24;;;;;;;;y;Veterinarska fakulteta
2004-10-21;35;neg;;;x;x;;;;Veterinarska fakulteta
2004-10-26;24;poz;;;x;x;;;;Veterinarska fakulteta
2004-10-27;24;;;;;;;y;;Veterinarska fakulteta
2004-11-02;35;neg;;;x;x;;;;Veterinarska fakulteta
2004-11-03;35;;;;;;;;y;Veterinarska fakulteta
2004-11-08;24;neg;;;x;x;;;;Veterinarska fakulteta
2004-11-12;24;neg;;;x;x;;;;Veterinarska fakulteta
2004-11-13;24;;;;;;;;y;Veterinarska fakulteta
2004-11-22;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-02-23;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-07-11;24;neg;;;neg;x;;;;Veterinarska fakulteta
2005-07-12;35;neg;;;neg;x;;;;Veterinarska fakulteta
2005-08-09;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-08-09;24;neg;;;x;x;;;;Veterinarska fakulteta
2005-08-11;24;x;;;x;x;;;;Veterinarska fakulteta
2005-08-16;35;x;;;x;x;;;;Veterinarska fakulteta
2005-09-05;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-09-20;24;neg;;;x;x;;;;Veterinarska fakulteta
2005-09-26;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-10-11;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-10-17;24;neg;;;x;x;;;;Veterinarska fakulteta
2005-11-02;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-11-02;24;neg;;;x;x;;;;Veterinarska fakulteta
2005-11-08;24;neg;;;x;x;;;;Veterinarska fakulteta
2005-11-09;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-11-14;24;neg;;;x;x;;;;Veterinarska fakulteta
2005-11-15;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-11-28;24;poz;;;neg;< 0,2 mg DA/kg;;y;;Veterinarska fakulteta
2005-12-05;35;neg;;;x;x;;;;Veterinarska fakulteta
2005-12-05;24;neg;;;x;x;;;y;Veterinarska fakulteta
2006-05-03;35;neg;;;neg;x;;;;Veterinarska fakulteta
2006-05-03;24;neg;;;neg;x;;;;Veterinarska fakulteta
2006-05-23;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-05-23;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-06-06;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-06-06;0DB2;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-06-07;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-06-19;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-06-20;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-06-20;0DB2;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-05;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-05;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-05;0DB2;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-12;35;neg;;;x;x;;;;Veterinarska fakulteta
2006-07-12;24;x;;;neg;x;;;;Veterinarska fakulteta
2006-07-12;0DB2;x;;;x;? (no data);;;;Veterinarska fakulteta
2006-07-20;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-20;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-20;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-26;35;x;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-26;24;x;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-07-26;0DB2;x;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-08-02;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-08-02;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-08-02;0DB2;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-08-09;35;poz;;;neg;0,2 mg DA/kg (neg);;;;Veterinarska fakulteta
2006-08-09;24;poz;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-08-09;0DB2;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-08-12;35;;;;;;;y;;Veterinarska fakulteta
2006-08-12;24;;;;;;;y;;Veterinarska fakulteta
2006-08-22;35;neg;;;x;x;;;;Veterinarska fakulteta
2006-08-22;24;neg;;;x;x;;;;Veterinarska fakulteta
2006-08-28;35;neg;;;x;x;;;;Veterinarska fakulteta
2006-08-28;24;neg;;;x;x;;;;Veterinarska fakulteta
2006-08-31;35;;;;;;;;y;Veterinarska fakulteta
2006-08-31;24;;;;;;;;y;Veterinarska fakulteta
2006-08-31;0DB2;neg;;;neg;x;;;;Veterinarska fakulteta
2006-09-07;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-07;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-07;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-13;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-13;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-13;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-20;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-20;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-20;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-27;35;neg;;;neg;x;;;;Veterinarska fakulteta
2006-09-28;35;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-28;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-09-28;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-10-03;35;poz;;;neg;x;;;;Veterinarska fakulteta
2006-10-04;35;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-10-04;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-10-04;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-10-06;35;;;;;;;y;;Veterinarska fakulteta
2006-10-09;35;poz;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-10-09;24;poz;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-10-09;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-10-12;24;;;;;;;y;;Veterinarska fakulteta
2006-10-19;0DB2;neg;;;neg;x;;;;Veterinarska fakulteta
2006-10-25;35;neg;;;x;x;;;;Veterinarska fakulteta
2006-10-25;0DB2;neg;;;neg;x;;;;Veterinarska fakulteta
2006-10-26;24;neg;;;x;x;;;;Veterinarska fakulteta
2006-11-02;35;neg;;;x;x;;;;Veterinarska fakulteta
2006-11-02;24;neg;;;x;x;;;;Veterinarska fakulteta
2006-11-06;35;;;;;;;;y;Veterinarska fakulteta
2006-11-06;24;;;;;;;;y;Veterinarska fakulteta
2006-11-08;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-08;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-08;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-15;0DB2;neg;;;neg;x;;;;Veterinarska fakulteta
2006-11-16;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-16;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-16;0DB2;x;;;x;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-23;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-23;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-23;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-29;35;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-29;24;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2006-11-29;0DB2;neg;;;neg;< 0,2 mg DA/kg;;;;Veterinarska fakulteta
2007-01-22;0DB2;neg;;;x;x;;;;Veterinarska fakulteta
