date,sampling station,sampling depth,sampling method,PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,lipophylic_toxins
1997-04-23,24,0,Niskin,256.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1997-04-23,35,0,Niskin,444.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1997-05-14,24,0,Niskin,263.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1997-05-14,35,0,Niskin,134.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1997-06-12,35,10,Niskin,783.0,9.0,1826.0,?,0.0,0.0,9.0,0.0,0.0,?
1997-06-12,24,10,Niskin,414.0,42.0,199.0,?,0.0,0.0,0.0,42.0,0.0,?
1997-06-24,24,0,Niskin,162.0,55.0,200.0,?,0.0,0.0,5.0,50.0,0.0,?
1997-06-24,35,10,Niskin,173.0,96.0,2920.0,?,0.0,0.0,0.0,96.0,0.0,?
1997-07-08,35,10,Niskin,328.0,18.0,37.0,?,0.0,9.0,9.0,0.0,0.0,poz
1997-07-08,24,10,Niskin,0.0,64.0,0.0,?,9.0,46.0,9.0,0.0,0.0,poz
1997-07-24,24,10,Niskin,?,26.0,0.0,?,13.0,13.0,0.0,0.0,0.0,poz
1997-07-24,35,0,Niskin,0.0,13.0,0.0,?,0.0,0.0,0.0,13.0,0.0,poz
1997-08-05,35,10,Niskin,0.0,61.0,4.0,?,12.0,37.0,8.0,4.0,0.0,?
1997-08-05,24,0,Niskin,223.0,54.0,4.0,?,25.0,0.0,0.0,29.0,0.0,?
1997-08-20,35,10,Niskin,86.0,240.0,0.0,?,19.0,211.0,5.0,0.0,0.0,?
1997-08-20,24,10,Niskin,86.0,96.0,0.0,?,0.0,86.0,10.0,0.0,0.0,?
1997-09-04,24,0,Niskin,71.0,28.0,0.0,?,23.0,0.0,0.0,5.0,0.0,?
1997-09-04,35,10,Niskin,62.0,32.0,0.0,?,0.0,18.0,14.0,0.0,0.0,?
1997-09-23,35,10,Niskin,0.0,46.0,0.0,?,5.0,36.0,5.0,0.0,0.0,?
1997-09-23,24,10,Niskin,80.0,204.0,0.0,?,84.0,116.0,4.0,0.0,0.0,?
1997-10-06,24,10,Niskin,0.0,77.0,0.0,?,36.0,27.0,9.0,0.0,0.0,neg
1997-10-06,35,10,Niskin,82.0,87.0,0.0,?,59.0,23.0,0.0,5.0,0.0,neg
1997-10-20,35,0,Niskin,409.0,250.0,0.0,?,145.0,82.0,9.0,9.0,0.0,neg
1997-10-20,24,0,Niskin,259.0,96.0,0.0,?,72.0,14.0,0.0,10.0,0.0,neg
1997-11-04,35,0,Niskin,166.0,166.0,0.0,?,129.0,23.0,0.0,14.0,0.0,?
1997-11-04,24,10,Niskin,264.0,219.0,0.0,?,180.0,24.0,5.0,0.0,0.0,?
1997-11-25,24,0,Niskin,0.0,177.0,0.0,?,132.0,36.0,0.0,0.0,0.0,?
1997-11-25,35,0,Niskin,4.0,27.0,0.0,?,9.0,9.0,0.0,0.0,0.0,?
1998-04-22,24,0,Niskin,485.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1998-04-22,35,10,Niskin,331.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1998-05-11,24,0,Niskin,85.0,5.0,0.0,?,0.0,0.0,0.0,5.0,0.0,?
1998-05-11,35,0,Niskin,0.0,5.0,0.0,?,0.0,0.0,0.0,5.0,0.0,?
1998-05-26,24,0,Niskin,80.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1998-05-26,35,0,Niskin,86.0,15.0,0.0,?,10.0,0.0,0.0,5.0,0.0,?
1998-06-10,35,0,Niskin,166.0,28.0,0.0,?,5.0,0.0,9.0,14.0,0.0,?
1998-06-10,24,0,Niskin,0.0,14.0,0.0,?,5.0,0.0,9.0,0.0,0.0,?
1998-06-23,35,10,Niskin,0.0,205.0,0.0,?,129.0,0.0,38.0,38.0,0.0,?
1998-06-23,24,0,Niskin,0.0,81.0,0.0,?,24.0,0.0,0.0,57.0,0.0,?
1998-07-06,24,10,Niskin,170.0,24.0,0.0,?,5.0,0.0,5.0,14.0,0.0,?
1998-07-06,35,0,Niskin,82.0,50.0,0.0,?,9.0,0.0,9.0,32.0,0.0,?
1998-07-20,35,10,Niskin,82.0,50.0,0.0,?,9.0,0.0,5.0,36.0,0.0,?
1998-07-20,24,0,Niskin,81.0,109.0,0.0,?,23.0,0.0,9.0,77.0,0.0,?
1998-08-04,24,0,Niskin,0.0,5.0,0.0,?,5.0,0.0,0.0,0.0,0.0,?
1998-08-04,35,0,Niskin,0.0,63.0,0.0,?,0.0,0.0,0.0,63.0,0.0,?
1998-08-17,24,10,Niskin,0.0,52.0,0.0,?,0.0,26.0,26.0,0.0,0.0,?
1998-08-17,35,0,Niskin,0.0,19.0,0.0,?,14.0,0.0,0.0,5.0,0.0,?
1998-09-01,35,0,Niskin,84.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
1998-09-01,24,0,Niskin,165.0,41.0,0.0,?,23.0,0.0,0.0,18.0,0.0,?
1998-09-16,35,10,Niskin,159.0,17.0,0.0,?,0.0,13.0,0.0,4.0,0.0,?
1998-09-16,24,0,Niskin,0.0,74.0,0.0,?,28.0,46.0,0.0,0.0,0.0,?
1998-10-02,35,10,Niskin,0.0,117.0,0.0,?,108.0,0.0,9.0,0.0,0.0,?
1998-10-02,24,10,Niskin,0.0,133.0,0.0,?,106.0,18.0,9.0,0.0,0.0,?
1998-10-26,24,0,bucket,?,8.0,0.0,?,0.0,0.0,8.0,0.0,0.0,?
1999-05-20,35,10,Niskin,0.0,16.0,20.0,?,12.0,0.0,4.0,0.0,0.0,neg
1999-05-20,24,1,Niskin,117.0,5.0,0.0,?,0.0,0.0,0.0,5.0,0.0,neg
1999-06-02,35,10,Niskin,386.0,5.0,5.0,?,0.0,0.0,5.0,0.0,0.0,neg
1999-06-02,24,1,Niskin,89.0,142.0,44.0,?,0.0,0.0,18.0,124.0,0.0,neg
1999-06-15,35,1,Niskin,426.0,407.0,19.0,?,0.0,0.0,9.0,398.0,0.0,neg
1999-06-15,24,10,Niskin,9.0,19.0,19.0,?,0.0,0.0,14.0,5.0,0.0,neg
1999-06-29,35,10,Niskin,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,neg
1999-06-29,24,10,Niskin,88.0,14.0,0.0,?,9.0,0.0,5.0,0.0,0.0,neg
1999-07-14,24,10,Niskin,5.0,15.0,5.0,?,0.0,0.0,10.0,5.0,0.0,neg
1999-07-14,35,1,Niskin,83.0,55.0,0.0,?,37.0,0.0,9.0,9.0,0.0,neg
1999-07-28,35,10,Niskin,0.0,5.0,18.0,?,0.0,0.0,5.0,0.0,0.0,neg
1999-07-28,24,10,Niskin,86.0,41.0,0.0,?,27.0,0.0,14.0,0.0,0.0,neg
1999-08-09,24,10,Niskin,0.0,5.0,0.0,?,0.0,0.0,5.0,0.0,0.0,neg
1999-08-09,35,10,Niskin,0.0,11.0,5.0,?,11.0,0.0,0.0,0.0,0.0,neg
1999-08-24,35,10,Niskin,0.0,10.0,0.0,?,10.0,0.0,0.0,0.0,0.0,neg
1999-08-24,24,10,Niskin,0.0,10.0,0.0,?,5.0,0.0,5.0,0.0,0.0,neg
1999-09-01,24,1,Niskin,0.0,134.0,0.0,?,130.0,4.0,0.0,0.0,0.0,neg
1999-09-01,35,1,Niskin,0.0,57.0,4.0,?,44.0,0.0,4.0,9.0,0.0,neg
1999-09-08,35,1,Niskin,0.0,34.0,5.0,?,24.0,0.0,5.0,0.0,0.0,neg
1999-09-08,24,1,Niskin,5.0,28.0,0.0,?,19.0,0.0,9.0,0.0,0.0,neg
1999-09-15,24,10,Niskin,157.0,61.0,0.0,?,26.0,13.0,22.0,0.0,0.0,neg
1999-09-15,35,10,Niskin,0.0,26.0,13.0,?,22.0,0.0,4.0,0.0,0.0,neg
1999-09-22,24,1,Niskin,0.0,50.0,5.0,?,41.0,0.0,9.0,0.0,0.0,?
1999-09-22,35,10,Niskin,0.0,44.0,9.0,?,13.0,9.0,22.0,0.0,0.0,neg
1999-09-29,24,10,Niskin,0.0,101.0,0.0,?,13.0,9.0,75.0,0.0,0.0,?
1999-09-29,35,1,Niskin,83.0,60.0,5.0,?,5.0,0.0,55.0,0.0,0.0,neg
1999-10-06,35,10,Niskin,95.0,18.0,0.0,?,0.0,9.0,9.0,0.0,0.0,neg
1999-10-06,24,1,Niskin,0.0,73.0,0.0,?,0.0,55.0,18.0,0.0,0.0,?
1999-10-13,35,10,Niskin,0.0,96.0,0.0,?,5.0,0.0,14.0,77.0,0.0,neg
1999-10-13,24,10,Niskin,109.0,50.0,0.0,?,0.0,27.0,23.0,0.0,0.0,?
1999-10-21,35,1,Niskin,85.0,90.0,0.0,?,9.0,54.0,27.0,0.0,0.0,poz
1999-10-21,24,10,Niskin,0.0,30.0,0.0,?,0.0,25.0,5.0,0.0,0.0,poz
1999-10-28,35,1,Niskin,0.0,62.0,0.0,?,19.0,29.0,14.0,0.0,0.0,poz
1999-10-28,24,10,Niskin,0.0,37.0,0.0,?,5.0,23.0,9.0,0.0,0.0,poz
1999-11-18,35,0,bucket,?,18.0,0.0,?,0.0,9.0,9.0,0.0,0.0,poz
1999-11-19,24,0,bucket,?,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,neg
2000-01-18,24,integrated,phytoplankton net,0.0,30.0,0.0,?,11.0,0.0,17.0,0.0,0.0,?
2000-01-18,35,integrated,phytoplankton net,20.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
2000-02-04,24,integrated,phytoplankton net,60.0,10.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
2000-02-04,35,integrated,phytoplankton net,40.0,10.0,0.0,?,0.0,0.0,0.0,0.0,0.0,?
2000-03-15,24,integrated,phytoplankton net,100.0,30.0,0.0,?,0.0,6.0,6.0,0.0,0.0,?
2000-03-15,35,integrated,phytoplankton net,120.0,10.0,0.0,?,0.0,0.0,7.000000000000001,0.0,0.0,?
2000-04-12,35,integrated,phytoplankton net,1700.0,90.0,0.0,?,0.0,7.000000000000001,28.999999999999996,28.999999999999996,0.0,?
2000-04-12,24,integrated,phytoplankton net,720.0,110.00000000000001,0.0,?,0.0,0.0,40.0,46.0,0.0,?
2000-05-09,24,integrated,phytoplankton net,210.0,100.0,0.0,?,0.0,0.0,11.0,85.0,0.0,?
2000-05-09,35,integrated,phytoplankton net,0.0,220.00000000000003,0.0,?,0.0,0.0,7.000000000000001,211.0,0.0,?
2000-05-23,24,integrated,phytoplankton net,110.00000000000001,100.0,20.0,?,46.0,0.0,23.0,34.0,0.0,neg
2000-05-23,35,integrated,phytoplankton net,590.0,580.0,400.0,?,131.0,0.0,57.99999999999999,342.0,0.0,neg
2000-06-06,24,integrated,phytoplankton net,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,neg
2000-06-06,35,integrated,phytoplankton net,890.0,790.0,390.0,?,28.999999999999996,0.0,73.0,538.0,15.0,neg
2000-06-20,24,integrated,phytoplankton net,470.0,270.0,50.0,?,17.0,0.0,28.000000000000004,216.0,0.0,neg
2000-06-20,35,integrated,phytoplankton net,130.0,180.0,0.0,?,28.999999999999996,0.0,80.0,36.0,0.0,neg
2000-07-05,24,integrated,phytoplankton net,100.0,220.00000000000003,0.0,?,40.0,0.0,142.0,28.000000000000004,0.0,neg
2000-07-05,35,integrated,phytoplankton net,270.0,270.0,0.0,?,7.000000000000001,0.0,196.0,28.999999999999996,0.0,neg
2000-07-20,24,integrated,phytoplankton net,229.99999999999997,580.0,0.0,?,376.0,0.0,0.0,182.0,0.0,neg
2000-07-20,35,integrated,phytoplankton net,20.0,1920.0,30.0,?,1309.0,0.0,262.0,334.0,0.0,neg
2000-08-02,24,integrated,phytoplankton net,0.0,1130.0,20.0,?,832.0,0.0,68.0,227.99999999999997,0.0,neg
2000-08-02,35,integrated,phytoplankton net,90.0,1380.0,330.0,?,727.0,0.0,204.0,422.0,0.0,neg
2000-08-16,24,integrated,phytoplankton net,10.0,630.0,10.0,?,308.0,23.0,160.0,125.0,0.0,neg
2000-08-16,35,integrated,phytoplankton net,30.0,1760.0000000000002,20.0,?,974.0,28.999999999999996,233.0,436.00000000000006,0.0,neg
2000-08-29,24,integrated,phytoplankton net,0.0,580.0,0.0,?,490.00000000000006,23.0,23.0,34.0,0.0,neg
2000-08-29,35,integrated,phytoplankton net,280.0,600.0,0.0,?,174.0,145.0,247.00000000000003,28.999999999999996,0.0,neg
2000-09-12,24,integrated,phytoplankton net,10.0,280.0,0.0,?,211.0,11.0,46.0,11.0,0.0,neg
2000-09-12,35,integrated,phytoplankton net,20.0,270.0,20.0,?,174.0,7.000000000000001,51.0,36.0,0.0,neg
2000-09-26,24,integrated,phytoplankton net,0.0,819.9999999999999,0.0,?,473.00000000000006,256.0,74.0,6.0,0.0,neg
2000-09-26,35,integrated,phytoplankton net,0.0,480.0,0.0,?,167.0,233.0,51.0,15.0,0.0,neg
2000-10-10,35,integrated,phytoplankton net,20.0,340.0,20.0,?,36.0,80.0,174.0,28.999999999999996,0.0,neg
2000-10-10,24,integrated,phytoplankton net,10.0,440.00000000000006,0.0,?,97.0,234.0,80.0,6.0,0.0,neg
2000-10-23,35,integrated,phytoplankton net,0.0,40.0,0.0,?,0.0,28.999999999999996,15.0,0.0,0.0,neg
2000-10-23,24,integrated,phytoplankton net,620.0,300.0,20.0,?,23.0,227.99999999999997,23.0,0.0,0.0,neg
2000-11-07,24,integrated,phytoplankton net,229.99999999999997,360.0,0.0,?,23.0,125.0,182.0,11.0,0.0,neg
2000-11-07,35,integrated,phytoplankton net,0.0,290.0,0.0,?,28.999999999999996,28.999999999999996,204.0,0.0,0.0,neg
2000-11-23,24,integrated,phytoplankton net,0.0,409.99999999999994,30.0,?,113.99999999999999,80.0,125.0,0.0,0.0,neg
