,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.68,0.48,0.56
3,Decision Tree,0.33,0.5,0.4
5,Random Forest,0.64,0.68,0.66
7,Neural Network,0.41,0.45,0.43
