,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.61,0.55,0.58
3,Decision Tree,0.53,0.42,0.47
5,Random Forest,0.76,0.62,0.68
7,Neural Network,0.4,0.35,0.37
