,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.56,0.5,0.53
3,Decision Tree,0.4,0.48,0.44
5,Random Forest,0.75,0.52,0.62
7,Neural Network,0.5,0.42,0.46
