,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.65,0.38,0.48
3,Decision Tree,0.43,0.57,0.49
5,Random Forest,0.68,0.62,0.65
7,Neural Network,0.39,0.48,0.43
