,Pearson
month,-0.13
Soca,0.11
Dinophysis sacculus,-0.07
T,-0.06
wind strength,-0.05
salinity,-0.05
Phalacroma rotundatum,0.04
air temp,-0.03
DSP,-0.03
Dinophysis caudata,-0.03
Dinophysis tripos,-0.03
sun [h],-0.01
Dinophysis fortii,0.0
precipitation,-0.0
