,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.72,0.57,0.64
3,Decision Tree,0.42,0.38,0.39
5,Random Forest,0.81,0.55,0.66
7,Neural Network,0.33,0.62,0.43
